SSID,Net ID,TriLat,TriLong,Encryption,Type,Trans ID,First Time,Last Time,Last Updt
None,00:13:33:F5:B0:26,14.6852808,121.08630371,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
None,00:13:33:D6:5E:D9,14.68066502,121.08423615,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL,00:13:33:D8:37:BD,14.68535423,121.08634186,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL_JK_ENERGIES,00:13:33:E4:2E:BC,14.68018627,121.08403778,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL,00:13:33:DC:E1:D7,14.67236805,121.0792923,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL,00:13:33:DE:C1:61,14.67202377,121.07898712,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL,00:13:33:E9:59:75,14.67995739,121.08393097,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL,00:13:33:EF:5B:E6,14.68086052,121.08432007,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL,00:13:33:D3:C2:F5,14.67840958,121.08324432,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
smartbrowifi,00:14:BF:BB:DB:1F,14.67669964,121.08244324,none,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-04-25, 07:00:00 AM","2013-04-25, 05:00:00 AM"
PLDTHOMEDSL,00:13:33:FB:05:CE,14.6724205,121.0792923,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL,00:0E:F4:DA:87:A9,14.67281628,121.07910919,wpa2,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
ZIANE,00:0F:01:1B:23:A6,14.67700481,121.08223724,wpa2,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
PLDTHOMEDSL,00:0E:F4:D9:DF:F4,14.67281628,121.07910919,wpa2,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
PLDTHOMEDSLNoWifiHere,00:13:33:BF:5B:71,14.68783569,121.07785797,wpa2,infra,20160315-00000,"2001-01-01, 05:00:00 PM","2016-03-16, 06:00:00 AM","2016-03-16, 06:00:00 AM"
PLDTHOMEDSL,00:13:33:FD:C7:5A,14.67550468,121.081604,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL,00:13:33:F5:91:89,14.68145466,121.08460236,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL,00:13:33:F7:A5:3C,14.67273998,121.07957458,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL,00:13:33:D9:9E:D7,14.68064117,121.08422852,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL,00:13:33:E3:A8:98,14.6804657,121.08415222,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL,00:13:33:E8:D4:7D,14.67520905,121.08140564,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL,00:13:33:C2:48:28,14.6877327,121.08709717,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL,00:13:33:F5:90:85,14.67180538,121.07872772,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSLflhcordovez,00:13:33:E1:F8:D6,14.68661118,121.07652283,wpa2,infra,20160315-00000,"2001-01-01, 05:00:00 PM","2016-03-16, 06:00:00 AM","2016-03-16, 06:00:00 AM"
PLDTHOMEDSLPGMPCNET,00:13:33:EE:91:0C,14.67546463,121.08152008,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL,00:13:33:F0:F1:B3,14.6782093,121.08315277,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL,00:13:33:E6:4C:62,14.67413521,121.0806427,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL,00:13:33:DB:21:85,14.6782093,121.08316803,wpa2,infra,20160505-00000,"2016-03-25, 04:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL_JK_BUILDERS,00:13:33:EB:5B:CB,14.68041515,121.08412933,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL,00:13:33:D3:C7:37,14.67218018,121.07904053,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL_STRIDE,00:13:33:F5:F7:2D,14.68037987,121.08411407,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL,00:13:33:DC:E1:E1,14.68018627,121.08403778,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL,00:13:33:DF:A5:A4,14.67702007,121.08250427,wpa2,infra,20160505-00000,"2016-03-25, 04:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSLEXPRESSPAY,00:13:33:E5:2A:E2,14.68508148,121.08621216,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL,00:13:33:D7:81:B5,14.6884861,121.08709717,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
default,00:0E:2E:FB:69:FF,14.68285084,121.08550262,none,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-04-17, 05:00:00 AM","2013-04-17, 03:00:00 AM"
PLDTHOMEDSL,00:13:33:C6:81:E3,14.68141747,121.08454132,wpa2,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL_Dentacare,00:13:33:C0:93:97,14.67323112,121.08625031,wpa2,infra,20161219-00000,"2001-01-01, 04:00:00 PM","2016-12-20, 06:00:00 AM","2016-12-20, 06:00:00 AM"
PLDTHOMEDSL,00:13:33:FC:E7:40,14.67790318,121.08299255,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
