SSID,Net ID,TriLat,TriLong,Encryption,Type,Trans ID,First Time,Last Time,Last Updt
LynBasil,E8:CD:2D:7E:EF:5A,14.69020557,121.08537292,wpa2,infra,20130817-00000,"2001-01-01, 04:00:00 PM","2013-08-17, 11:00:00 AM","2013-08-17, 09:00:00 AM"
bayanDSLWiFi_9B3C,38:D8:2F:2B:9B:3C,14.69020271,121.08666992,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDT Smart WiFi Zone,00:18:25:05:87:50,14.69049454,121.08700562,unknown,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
PLDTSMART,00:18:25:03:D5:54,14.69014549,121.08702087,wpa2,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
ORLITA,00:26:75:D9:07:70,14.68975067,121.08696747,wpa,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
PLDTMyDSLRockStar,50:67:F0:89:01:61,14.69032764,121.08701324,wep,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
impaktwo,F4:DC:F9:30:2A:A6,14.69049454,121.08700562,wpa2,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
nelbha,A4:7E:39:AE:4F:C0,14.69049454,121.08700562,wpa2,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
delia,E4:77:23:A5:51:08,14.69049454,121.08700562,wpa2,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
JJ8 auto supply,A4:7E:39:AE:64:CC,14.69049454,121.08700562,wpa2,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
D4D3.0,92:4E:2B:C7:B1:3E,14.68986034,121.08712006,wpa2,infra,20150406-00000,"2015-04-07, 08:00:00 AM","2015-08-01, 05:00:00 AM","2015-08-01, 05:00:00 AM"
virus dtetected,EC:8A:4C:94:A4:CD,14.69049454,121.08700562,wpa2,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
ACLC Commonwealth Admin,B8:55:10:02:DA:A7,14.6888895,121.08669281,wpa2,infra,20160505-00000,"2016-03-20, 11:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
BLACK NAZARENE,D4:40:F0:34:D3:73,14.68792629,121.08638,wpa2,infra,20160505-00000,"2016-03-27, 06:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
no signal,50:9F:27:0C:6E:02,14.68792629,121.08638,wpa2,infra,20160505-00000,"2016-03-27, 06:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSLNoWifiHere,00:13:33:BF:5B:71,14.68783569,121.07785797,wpa2,infra,20160315-00000,"2001-01-01, 05:00:00 PM","2016-03-16, 06:00:00 AM","2016-03-16, 06:00:00 AM"
PLDTMyDSLR,90:61:0C:0E:76:A6,14.68783569,121.07785797,wpa,infra,20160315-00000,"2001-01-01, 05:00:00 PM","2016-03-16, 06:00:00 AM","2016-03-16, 06:00:00 AM"
VOLTAGE_NAVIGATOR,D2:5B:A8:F9:3E:A0,14.68723011,121.08104706,wpa2,infra,20160315-00000,"2016-03-04, 07:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
@AyalaMalls_GoWiFi,B4:5D:50:46:BB:B1,14.68680573,121.07802582,unknown,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
YTFanfest,B4:5D:50:38:57:E6,14.68680573,121.07802582,wpa2,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
None,B4:5D:50:46:BB:B2,14.68680573,121.07802582,unknown,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
@AyalaMalls_GoWiFi,B4:5D:50:46:BD:42,14.68680573,121.07802582,unknown,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
@GoWiFi_Auto,B4:5D:50:46:BD:45,14.68680573,121.07802582,unknown,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
Stefanini,5C:F2:86:2E:5C:F0,14.68680573,121.07802582,wpa2,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
YTFanfest,84:D4:7E:22:5F:92,14.68680573,121.07802582,wpa2,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
Smarties,5C:F2:86:23:39:80,14.68680573,121.07802582,wpa2,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
Love,D2:5B:A8:5E:82:CD,14.68661022,121.07834625,wpa2,infra,20160227-00000,"2001-01-01, 04:00:00 PM","2016-02-27, 03:00:00 PM","2016-02-27, 03:00:00 PM"
None,84:D4:7E:22:5F:99,14.68680573,121.07802582,unknown,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
ARENZ ORIGINWEARS,DC:EE:06:C0:16:2C,14.68680573,121.07802582,wpa2,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
None,B4:5D:50:46:BB:B0,14.68680573,121.07802582,unknown,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
None,B4:5D:50:46:BB:B3,14.68680573,121.07802582,unknown,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
@GoWiFi,B4:5D:50:46:BD:40,14.68680573,121.07802582,unknown,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
None,84:D4:7E:22:5F:96,14.68680573,121.07802582,unknown,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
None,B4:5D:50:46:BD:46,14.68680573,121.07802582,unknown,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
@GoWiFi_Auto,B4:5D:50:46:BB:B4,14.68680573,121.07802582,unknown,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
None,B4:5D:50:46:BB:B5,14.68680573,121.07802582,unknown,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
YTFanfest,B4:5D:50:46:BB:B6,14.68680573,121.07802582,wpa2,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
CMDuroy,AA:A6:68:DA:3F:84,14.68680573,121.07802582,wpa2,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
RoyceMatthew222,EC:9B:F3:3E:D9:31,14.68680573,121.07802582,wpa2,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
