Common,327
BSSID,SSID,Encryption,Channel
e0:a3:ac:4f:a2:5c,1,WPA2,1
c8:60:00:e4:70:cc,wcnet,WPA2/WPA,1
ae:5f:3e:9c:e4:29,PSETDSDDDB39,WPA2,1
00:13:33:ff:73:4d,PLDTHOMEDSLNailCocktales,WPA2/WPA,1
66:a5:c3:8f:96:49,Myke’s iPhone,WPA2,1
aa:a6:68:b4:bf:16,Jmovers2017,WPA2/WPA,1
06:75:0e:19:ab:67,ICON-Guests,WPA2/WPA,1
5a:8b:f3:9c:cd:e0,AF Holy Spirit,WPA,4
24:1f:a0:79:0d:18,B315_90D18,WPA2/WPA,5
00:13:33:f7:a0:af,PLDTHOMEDSL,WPA2/WPA,6
94:0c:6d:a6:64:58,Zenjoe,WPA2/WPA,6
5a:8b:f3:9c:cd:d8,PLDTOFFICE,WPA,7
10:fe:ed:9e:49:09,TP-LINK_9E4909,OPN,6
58:70:c6:fd:06:50,YICarCam_fd0650,WPA2,7
e8:50:8b:4e:17:7b,S6 edge,WPA2,6
06:d6:aa:9e:e9:5a,AndroidAP,WPA2,6
c4:6e:1f:49:06:42,RODZONE,WPA2,6
88:3f:d3:05:d5:c0,AnytimeFitnessMembers,WPA2/WPA,7
b0:c1:9e:4b:d5:b1,AIRFIBR777,WPA2/WPA,7
d0:04:92:03:04:88,PLDTHOMEFIBRQuantum,WPA2/WPA,9
a8:a6:68:2f:83:e8,Smitty Werben Jaegerman Jensen,WPA2/WPA,11
90:61:0c:1f:5c:75,PLDTHOMEDSL,WPA2/WPA,11
00:13:33:e6:4a:92,5Loaves2Fish,WPA2/WPA,11
fc:8b:97:38:fc:db,PLDTMyDSL_therockh,WPA2,11
00:13:33:c6:81:de,PLDTHOMEDSL_RUCKER,WPA2/WPA,11
0c:bd:51:fb:61:4a,AlcatelOneTouch,WPA,11
32:cd:a7:38:42:0f,DIRECT-8aM2020 Series,WPA2,11
00:13:33:e6:4a:91,PLDTHOMEDSL,WPA2/WPA,11
00:13:33:e4:2e:cb,PLDTHOMEDSL,WPA2/WPA,11
78:c1:a7:04:59:18,ZTEH108N_45918,WPA,11
00:13:33:db:0a:1f,PLDTHOMEDSL,WPA2/WPA,11
60:31:97:dd:09:bc,Wolfe_Company,WPA2/WPA,12
b8:ec:a3:44:9f:1f,The Dental Lounge,WPA2/WPA,5
8e:79:67:93:6b:e8,ashe,WPA2,6
5c:f2:86:2e:6c:ab,Globe_LTE MIFI_6CAB,WPA2/WPA,7
00:13:33:cc:2f:04,,OPN,11
00:13:33:cc:2f:03,PLDTHOMEDSLMPBAC1214,WPA2/WPA,11
b8:27:eb:b9:1c:be,ss,WPA,1
d4:6e:0e:49:c1:cc,TP-LINK_C1CC,WPA2,2
38:a2:8c:fb:45:52,Mitsubishi Wireless TV 767,OPN,44
5c:f2:86:23:2e:2a,MakiMykz,WPA2,6
00:13:33:f5:8c:48,PLDTHOMEDSL,WPA2/WPA,6
5c:f2:86:23:83:46,JOANJO,WPA2/WPA,7
3e:36:bb:9d:da:53,Bernadette Chantle’s iPhone,WPA2,1
00:1f:fb:b2:ea:95,HomeBro_ULTERA,WPA2,1
