BSSID,SSID,Encryption,Channel,Average Beacon Interval,Average Strength Signal,Number of Packets,Interval Summation,RSSI Summation
ec:8a:4c:a6:ac:b4,STARRSFAMOUS,WPA2/WPA,1,4.23567068577,-79,22,93.1847550869,-1732
e0:a3:ac:4f:a2:5c,1,WPA2,1,3.68912470968,-82,38,140.186738968,-3085
c8:60:00:e4:70:cc,wcnet,WPA2/WPA,1,15.355656194,-83,66,1013.4733088,-5471
ae:5f:3e:9c:e4:29,PSETDSDDDB39,WPA2,1,0.123029017448,-78,10,1.23029017448,-780
00:13:33:ff:73:4d,PLDTHOMEDSLNailCocktales,WPA2/WPA,1,24.6637772002,-80,41,1011.21486521,-3272
66:a5:c3:8f:96:49,Myke’s iPhone,WPA2,1,4.67625813484,-78,30,140.287744045,-2334
aa:a6:68:b4:bf:16,Jmovers2017,WPA2/WPA,1,1.25578032042,-65,19,23.859826088,-1229
06:75:0e:19:ab:67,ICON-Guests,WPA2/WPA,1,7.23641633987,-86,3,21.7092490196,-257
0a:18:0a:84:09:5e,,OPN,1,-1,-86,1,0,-86
5a:8b:f3:9c:cd:e0,AF Holy Spirit,WPA,4,3.36262234394,-76,302,1015.51194787,-22819
b0:b9:8a:46:9b:8c,NETGEAR00,WPA2,4,7.6208678726,-83,133,1013.57542706,-10938
24:1f:a0:79:0d:18,B315_90D18,WPA2/WPA,5,9.54939934892,-81,106,1012.23633099,-8543
00:13:33:f7:a0:af,PLDTHOMEDSL,WPA2/WPA,6,0.3754529953,-84,6,2.2527179718,-503
94:0c:6d:a6:64:58,Zenjoe,WPA2/WPA,6,13.794392143,-88,7,96.5607450008,-614
5a:8b:f3:9c:cd:d8,PLDTOFFICE,WPA,7,3.91100978382,-75,254,993.39648509,-18928
10:fe:ed:9e:49:09,TP-LINK_9E4909,OPN,6,1.02404933174,-85,24,24.5771839619,-2037
58:70:c6:fd:06:50,YICarCam_fd0650,WPA2,7,2.60026271854,-80,28,72.8073561192,-2232
e8:50:8b:4e:17:7b,S6 edge,WPA2,6,3.28036037807,-85,29,95.130450964,-2443
06:d6:aa:9e:e9:5a,AndroidAP,WPA2,6,7.01795783308,-78,144,1010.58592796,-11207
c4:6e:1f:49:06:42,RODZONE,WPA2,6,31.642124335,-92,3,94.9263730049,-274
88:3f:d3:05:d5:c0,AnytimeFitnessMembers,WPA2/WPA,7,26.0495638157,-85,38,989.883424997,-3217
b0:c1:9e:4b:d5:b1,AIRFIBR777,WPA2/WPA,7,0.962579240799,-77,25,24.06448102,-1904
d0:04:92:03:04:88,PLDTHOMEFIBRQuantum,WPA2/WPA,9,6.93464849712,-79,143,991.654735088,-11206
a8:a6:68:2f:83:e8,Smitty Werben Jaegerman Jensen,WPA2/WPA,11,3.99935532941,-86,18,71.9883959293,-1547
90:61:0c:1f:5c:75,PLDTHOMEDSL,WPA2/WPA,11,3.53884829493,-84,34,120.320842028,-2844
00:13:33:e6:4a:92,5Loaves2Fish,WPA2/WPA,11,1.73351807254,-85,14,24.2692530155,-1185
fc:8b:97:38:fc:db,PLDTMyDSL_therockh,WPA2,11,13.9524845775,-80,71,990.626405001,-5653
00:13:33:c6:81:de,PLDTHOMEDSL_RUCKER,WPA2/WPA,11,36.6713999642,-86,27,990.127799034,-2314
0c:bd:51:fb:61:4a,AlcatelOneTouch,WPA,11,0.358379006386,-91,2,0.716758012772,-182
32:cd:a7:38:42:0f,DIRECT-8aM2020 Series,WPA2,11,23.5447078149,-81,42,988.877728224,-3385
00:13:33:e6:4a:91,PLDTHOMEDSL,WPA2/WPA,11,2.05735280297,-86,11,22.6308808327,-945
00:13:33:e4:2e:cb,PLDTHOMEDSL,WPA2/WPA,11,2.95683570703,-88,24,70.9640569687,-2094
78:c1:a7:04:59:18,ZTEH108N_45918,WPA,11,0.409593462944,-89,2,0.819186925888,-177
00:13:33:db:0a:1f,PLDTHOMEDSL,WPA2/WPA,11,5.57988375425,-90,4,22.319535017,-358
60:31:97:dd:09:bc,Wolfe_Company,WPA2/WPA,12,5.73267427207,-78,173,991.752649069,-13384
b8:ec:a3:44:9f:1f,The Dental Lounge,WPA2/WPA,5,2.43086538559,-87,39,94.8037500381,-3363
8e:79:67:93:6b:e8,ashe,WPA2,6,0.186991473903,-74,23,4.30080389977,-1698
5c:f2:86:2e:6c:ab,Globe_LTE MIFI_6CAB,WPA2/WPA,7,8.14348467191,-87,9,73.2913620472,-779
