BSSID,SSID,Encryption,Channel,Average Beacon Interval,Average Strength Signal,Number of Packets,Interval Summation,RSSI Summation
66:a5:c3:8f:96:49,Myke’s iPhone,WPA2,1,2.37793835534,-80,45,107.00722599,-3589
c8:60:00:e4:70:cc,wcnet,WPA2/WPA,1,7.87055939808,-81,128,1007.43160295,-10356
ae:5f:3e:9c:e4:29,PSETDSDDDB39,WPA2,1,0.737288248539,-72,20,14.7457649708,-1440
00:13:33:ff:73:4d,PLDTHOMEDSLNailCocktales,WPA2/WPA,1,0.996179735776,-77,103,102.606512785,-7929
ec:8a:4c:a6:ac:b4,STARRSFAMOUS,WPA2/WPA,1,0.988167953491,-78,40,39.5267181396,-3095
e0:a3:ac:4f:a2:5c,1,WPA2,1,1.25378417096,-82,82,102.810302019,-6652
aa:a6:68:b4:bf:16,Jmovers2017,WPA2/WPA,1,0.814434833305,-71,43,35.0206978321,-3011
24:1f:a0:79:0d:18,B315_90D18,WPA2/WPA,5,1.83956728663,-74,56,103.015768051,-4142
5a:8b:f3:9c:cd:e0,AF Holy Spirit,WPA,4,3.53814086421,-76,29,102.606085062,-2202
10:fe:ed:9e:49:09,TP-LINK_9E4909,OPN,6,1.09873827084,-87,37,40.653316021,-3183
5a:8b:f3:9c:cd:d8,PLDTOFFICE,WPA,7,5.21564757029,-74,195,1017.05127621,-14430
88:3f:d3:05:d5:c0,AnytimeFitnessMembers,WPA2/WPA,7,11.5280838907,-84,8,92.2246711254,-672
94:0c:6d:a6:64:58,Zenjoe,WPA2/WPA,6,5.41651068236,-86,19,102.913702965,-1625
00:13:33:f7:a0:af,PLDTHOMEDSL,WPA2/WPA,6,0.977461923252,-88,11,10.7520811558,-960
58:70:c6:fd:06:50,YICarCam_fd0650,WPA2,7,11.5713306268,-79,3,34.7139918804,-235
d4:6e:5c:86:ab:e9,loidsvill18,WPA2/WPA,6,-1,-91,1,0,-91
fc:8b:97:38:fc:db,PLDTMyDSL_therockh,WPA2,11,0.898552709857,-84,151,135.681459188,-12585
32:cd:a7:38:42:0f,DIRECT-8aM2020 Series,WPA2,11,0.69812383845,-80,148,103.322328091,-11750
00:13:33:e4:2e:cb,PLDTHOMEDSL,WPA2/WPA,11,1.6384112676,-89,60,98.3046760559,-5289
90:61:0c:1f:5c:75,PLDTHOMEDSL,WPA2/WPA,11,1.08462972832,-83,125,135.57871604,-10271
00:13:33:c6:81:de,PLDTHOMEDSL_RUCKER,WPA2/WPA,11,1.56366990483,-86,63,98.5112040043,-5365
a8:a6:68:2f:83:e8,Smitty Werben Jaegerman Jensen,WPA2/WPA,11,1.51712153508,-86,65,98.6128997803,-5537
0c:bd:51:fb:61:4a,AlcatelOneTouch,WPA,11,-1,-92,1,0,-92
00:13:33:e9:57:2c,PLDTHOMEDSLpook_shell,WPA2/WPA,11,-1,-90,1,0,-90
00:13:33:cc:2f:04,,OPN,11,2.24117875868,-83,62,138.953083038,-5134
00:13:33:e6:4a:92,5Loaves2Fish,WPA2/WPA,11,2.14090995456,-85,43,92.059128046,-3654
00:13:33:e6:4a:91,PLDTHOMEDSL,WPA2/WPA,11,2.48531721734,-86,37,91.9567370415,-3174
d0:04:92:03:04:88,PLDTHOMEFIBRQuantum,WPA2/WPA,9,11.3325030009,-80,3,33.9975090027,-239
c4:6e:1f:49:06:42,RODZONE,WPA2,6,-1,-93,1,0,-93
e8:50:8b:4e:17:7b,S6 edge,WPA2,6,1.29280436039,-83,72,93.0819139481,-5947
00:13:33:e6:f5:f0,PLDTHOMEDSL_101,WPA2/WPA,11,-1,-89,1,0,-89
00:13:33:db:0a:1f,PLDTHOMEDSL,WPA2/WPA,11,2.95960199833,-87,10,29.5960199833,-863
b0:c1:9e:4b:d5:b1,AIRFIBR777,WPA2/WPA,7,0.652801886201,-72,16,10.4448301792,-1142
8e:79:67:93:6b:e8,ashe,WPA2,6,0.58820700091,-77,43,25.2929010391,-3309
00:13:33:cc:2f:03,PLDTHOMEDSLMPBAC1214,WPA2/WPA,11,2.53596291136,-84,47,119.190256834,-3937
84:d4:7e:22:61:e1,@FreeGoWiFi,OPN,11,-1,-84,1,0,-84
84:d4:7e:22:61:e4,@GoWiFi_Auto,OPN,11,-1,-85,1,0,-85
5c:f2:86:2e:6c:ab,Globe_LTE MIFI_6CAB,WPA2/WPA,7,3.41225234667,-82,3,10.23675704,-244
60:31:97:dd:09:bc,Wolfe_Company,WPA2/WPA,12,0.69917538466,-75,151,105.575483084,-11274
00:13:33:f5:8c:48,PLDTHOMEDSL,WPA2/WPA,6,0.602705514999,-86,105,63.2840790749,-8980
06:d6:aa:9e:e9:5a,AndroidAP,WPA2,6,3.87575955145,-83,252,976.691406965,-20779
78:c1:a7:04:59:18,ZTEH108N_45918,WPA,11,-1,-92,1,0,-92
5c:f2:86:23:2e:2a,MakiMykz,WPA2,6,0.399521227806,-84,31,12.385158062,-2579
3e:36:bb:9d:da:53,Bernadette Chantle’s iPhone,WPA2,1,21.8603577939,-81,44,961.855742931,-3534
b8:27:eb:b9:1c:be,ss,WPA,1,0.54106121772,-83,74,40.0385301113,-6087
38:a2:8c:fb:45:52,Mitsubishi Wireless TV 767,OPN,44,0.865287798643,-75,40,34.6115119457,-2967
5c:f2:86:23:83:46,JOANJO,WPA2/WPA,7,1.80023697444,-80,7,12.6016588211,-554
