WigleWifi-1.4,appRelease=2.26,model=LG-H990,release=7.0,device=elsa,display=NRD90M,board=msm8996,brand=lge
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
00:13:33:d6:39:fe,PLDTHOMEDSLKJFC,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:53:56,2,-85,14.65017272,121.05241757,83,9.101999282836914,WIFI
24:09:95:43:1a:21,HUAWEI-E5330-1A21,[WPA2-PSK-CCMP][ESS],2018-01-31 12:53:56,5,-85,14.65017272,121.05241757,83,9.101999282836914,WIFI
32:14:4a:ef:a9:8b,MMDA_MESH190,[IBSS],2018-01-31 12:53:56,56,-87,14.65017272,121.05241757,83,9.101999282836914,WIFI
f0:55:41:01:81:0c,WiFi_OBDII,[ESS],2018-01-31 12:53:56,1,-87,14.65017272,121.05241757,83,9.101999282836914,WIFI
98:e7:f5:5f:47:d2,sgmpaker,[WPA2-PSK-CCMP][ESS],2018-01-31 12:53:56,2,-86,14.65017272,121.05241757,83,9.101999282836914,WIFI
ae:5f:3e:23:81:91,AndroidAP,[WPA2-PSK-CCMP][ESS],2018-01-31 12:53:56,11,-86,14.65017272,121.05241757,83,9.101999282836914,WIFI
32:14:4a:ef:a9:93,MMDA_MESH190,[IBSS],2018-01-31 12:53:56,40,-88,14.65017272,121.05241757,83,9.101999282836914,WIFI
5c:6a:80:a3:70:6f,OGM2017,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:53:56,9,-86,14.65017272,121.05241757,83,9.101999282836914,WIFI
50:c7:bf:d8:62:57,NHA-WiFi-Guest,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:53:56,3,-88,14.65017272,121.05241757,83,9.101999282836914,WIFI
d4:6e:0e:a2:53:b3,OGM-WR1,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2018-01-31 12:53:56,11,-89,14.65017272,121.05241757,83,9.101999282836914,WIFI
50:c7:bf:d8:60:9a,NHA-WiFi-Guest,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:53:56,3,-89,14.65017272,121.05241757,83,9.101999282836914,WIFI
9c:a9:e4:9a:fc:ee,Sun Wi-Fi_9AFCED,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-01-31 12:53:56,6,-85,14.65017272,121.05241757,83,9.101999282836914,WIFI
51502_30232_210438652,Globe,HSPA;ph,2018-01-31 12:53:56,0,-93,14.65017272,121.05241757,83,9.101999282836914,GSM
32:14:4a:ef:a9:8b,MMDA_MESH190,[IBSS],2018-01-31 12:54:01,56,-81,14.65026937,121.05236306,101,6.067999839782715,WIFI
38:a2:8c:7c:e8:31,Mitsubishi Wireless TV 199,[ESS],2018-01-31 12:54:11,36,-86,14.65024225,121.05262812,104,4.550999641418457,WIFI
00:13:33:d6:39:fe,PLDTHOMEDSLKJFC,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:54:14,2,-80,14.65020447,121.05280021,104,4.550999641418457,WIFI
f0:98:38:9f:fd:28,HUAWEI-yJc8,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:54:18,8,-88,14.65017839,121.0530291,103,7.585000038146973,WIFI
74:ea:3a:df:99:36,CIED WiFi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-preauth][ESS],2018-01-31 12:54:18,11,-86,14.65017839,121.0530291,103,7.585000038146973,WIFI
a0:8c:fd:98:48:bf,DIRECT-69-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS],2018-01-31 12:54:18,6,-89,14.65017839,121.0530291,103,7.585000038146973,WIFI
c0:56:27:83:28:00,PSU,[WEP][ESS],2018-01-31 12:54:18,1,-89,14.65017839,121.0530291,103,7.585000038146973,WIFI
74:ea:3a:df:99:36,CIED WiFi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-preauth][ESS],2018-01-31 12:54:23,11,-81,14.65011619,121.05334287,100,9.101999282836914,WIFI
a0:8c:fd:98:48:bf,DIRECT-69-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS],2018-01-31 12:54:23,6,-83,14.65011619,121.05334287,100,9.101999282836914,WIFI
c0:56:27:83:28:00,PSU,[WEP][ESS],2018-01-31 12:54:23,1,-82,14.65011619,121.05334287,100,9.101999282836914,WIFI
88:3f:d3:05:e7:d0,HUAWEI-6443,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:54:23,11,-86,14.65011619,121.05334287,100,9.101999282836914,WIFI
00:23:69:2c:65:2d,ALUGLOBE,[WEP][ESS],2018-01-31 12:54:23,6,-88,14.65011619,121.05334287,100,9.101999282836914,WIFI
80:57:19:67:a6:db,Bcdr-RkU,[ESS],2018-01-31 12:54:23,6,-86,14.65011619,121.05334287,100,9.101999282836914,WIFI
51502_30232_210451840,Globe,HSPA;ph,2018-01-31 12:54:23,0,-95,14.65011619,121.05334287,100,9.101999282836914,GSM
00:21:29:7b:5c:54,BalaiTalakayan,[WPA-PSK-TKIP][WPS][ESS],2018-01-31 12:54:26,6,-85,14.65007142,121.05357632,101,10.618999481201172,WIFI
88:d2:74:a8:fe:54,Cradle of Learners,[WPA-PSK-CCMP+TKIP][WPS][ESS],2018-01-31 12:54:30,2,-85,14.65013325,121.05377509,100,6.067999839782715,WIFI
04:02:1f:4e:57:3e,B315_E573E,[WPA2-PSK-CCMP][ESS],2018-01-31 12:54:30,11,-85,14.65013325,121.05377509,100,6.067999839782715,WIFI
e4:8d:8c:fb:3d:c2,CVL_Propagation test,[ESS],2018-01-31 12:54:30,60,-89,14.65013325,121.05377509,100,6.067999839782715,WIFI
51502_30232_210447752,Globe,HSPA;ph,2018-01-31 12:54:30,0,-79,14.65013325,121.05377509,100,6.067999839782715,GSM
50:04:b8:ee:ce:f1,HUAWEI-CEF1,[WPA2-PSK-CCMP][ESS],2018-01-31 12:54:34,1,-82,14.65009377,121.05396532,98,4.550999641418457,WIFI
14:91:82:14:e4:12,IsidroGlobe,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-01-31 12:54:38,1,-76,14.6499417,121.05408974,97,4.550999641418457,WIFI
54:b8:0a:36:61:68,Central,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-01-31 12:54:38,11,-84,14.6499417,121.05408974,97,4.550999641418457,WIFI
54:b8:0a:36:61:6a,Central,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:54:42,36,-90,14.64974961,121.05413698,94,4.550999641418457,WIFI
88:3f:d3:06:29:38,HUAWEI-Bn7b,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:54:42,7,-87,14.64974961,121.05413698,94,4.550999641418457,WIFI
c4:12:f5:75:e3:8a,bilan,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-01-31 12:54:46,3,-82,14.64968083,121.05429664,95,4.550999641418457,WIFI
00:1f:fb:ac:64:8b,Macaraeg,[WPA2-PSK-CCMP][WPS][ESS],2018-01-31 12:54:46,10,-87,14.64968083,121.05429664,95,4.550999641418457,WIFI
00:13:33:ed:40:b8,PLDTHOMEDSLjbtvelandria,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:54:46,1,-87,14.64968083,121.05429664,95,4.550999641418457,WIFI
00:13:33:ea:82:fa,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:54:46,11,-88,14.64968083,121.05429664,95,4.550999641418457,WIFI
51502_30232_210451840,Globe,HSPA;ph,2018-01-31 12:54:46,0,-85,14.64968083,121.05429664,95,4.550999641418457,GSM
c4:12:f5:75:e3:8a,bilan,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-01-31 12:54:50,3,-75,14.64963367,121.05451011,95,4.550999641418457,WIFI
94:46:96:1d:48:72,PLDTHOMEDSL4J4E0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:54:50,5,-78,14.64963367,121.05451011,95,4.550999641418457,WIFI
1c:af:f7:17:a3:d2,abad,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-01-31 12:54:50,11,-85,14.64963367,121.05451011,95,4.550999641418457,WIFI
5e:f4:ab:36:7c:a0,PLDTMyDSLBiz,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:54:54,11,-76,14.64959801,121.05469036,95,6.067999839782715,WIFI
90:61:0c:39:d2:6e,PLDTHOMEDSL53870,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:54:54,11,-84,14.64959801,121.05469036,95,6.067999839782715,WIFI
2c:44:fd:be:96:fd,HP-Print-FD-Deskjet 2540 series,[WPA2-PSK-CCMP][ESS],2018-01-31 12:54:54,6,-85,14.64959801,121.05469036,95,6.067999839782715,WIFI
f0:98:38:3d:eb:48,HUAWEI,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:54:54,4,-86,14.64959801,121.05469036,95,6.067999839782715,WIFI
00:13:33:e5:fb:d6,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:54:54,11,-87,14.64959801,121.05469036,95,6.067999839782715,WIFI
f0:98:38:3d:eb:48,HUAWEI,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:54:58,4,-80,14.64949919,121.05476111,95,6.067999839782715,WIFI
9c:d6:43:4b:26:df,PigPen,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-01-31 12:54:58,2,-79,14.64949919,121.05476111,95,6.067999839782715,WIFI
78:c1:a7:05:c5:5c,LUCAS INTERNET,[WPA-PSK-CCMP+TKIP][ESS],2018-01-31 12:54:58,2,-81,14.64949919,121.05476111,95,6.067999839782715,WIFI
90:61:0c:2d:d3:0b,PROLINK_H5004NK_DD30B,[WPA2-PSK-CCMP][WPS][ESS],2018-01-31 12:54:58,11,-88,14.64949919,121.05476111,95,6.067999839782715,WIFI
b4:75:0e:10:fc:88,bayanDSLWIFI_D187,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-01-31 12:54:58,9,-88,14.64949919,121.05476111,95,6.067999839782715,WIFI
51502_30232_210447751,Globe,HSPA;ph,2018-01-31 12:54:58,0,-91,14.64949919,121.05476111,95,6.067999839782715,GSM
90:61:0c:2d:d3:0b,PROLINK_H5004NK_DD30B,[WPA2-PSK-CCMP][WPS][ESS],2018-01-31 12:55:03,11,-80,14.64933209,121.0547267,92,6.067999839782715,WIFI
4c:81:20:f3:93:6f,malupadilla,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-01-31 12:55:04,5,-86,14.64927947,121.05472859,95,6.067999839782715,WIFI
4c:81:20:f3:93:6f,malupadilla,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-01-31 12:55:09,5,-81,14.64900753,121.05463766,95,6.067999839782715,WIFI
a0:ab:1b:96:58:e4,Cumm4Me,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-01-31 12:55:09,149,-86,14.64900753,121.05463766,95,6.067999839782715,WIFI
a0:ab:1b:96:58:e5,Stingray-G,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:55:09,149,-87,14.64900753,121.05463766,95,6.067999839782715,WIFI
e0:8e:3c:21:f9:d3,bayandsl,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:55:09,1,-84,14.64900753,121.05463766,95,6.067999839782715,WIFI
51502_30232_210477113,Globe,HSPA;ph,2018-01-31 12:55:09,0,-87,14.64900753,121.05463766,95,6.067999839782715,GSM
78:c1:a7:05:c5:5c,LUCAS INTERNET,[WPA-PSK-CCMP+TKIP][ESS],2018-01-31 12:55:13,2,-69,14.64883949,121.05467553,96,4.550999641418457,WIFI
a0:ab:1b:96:58:e3,Stingray-G,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:55:13,36,-81,14.64883949,121.05467553,96,4.550999641418457,WIFI
a0:ab:1b:96:58:e2,Cumm4Me,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:55:13,36,-81,14.64883949,121.05467553,96,4.550999641418457,WIFI
a0:ab:1b:96:58:e1,Stingray-G,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:55:13,1,-83,14.64883949,121.05467553,96,4.550999641418457,WIFI
a0:ab:1b:96:58:e0,Cumm4Me,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-01-31 12:55:13,1,-83,14.64883949,121.05467553,96,4.550999641418457,WIFI
d0:b2:c4:56:a3:0f,SKYbroadbandA30C,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:55:13,11,-86,14.64883949,121.05467553,96,4.550999641418457,WIFI
00:13:33:e5:f9:e2,PLDTHOMEDSLironman,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:55:13,11,-87,14.64883949,121.05467553,96,4.550999641418457,WIFI
90:61:0c:2e:b3:11,PLDTHOMEDSLchurchill,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-01-31 12:55:13,1,-89,14.64883949,121.05467553,96,4.550999641418457,WIFI
9c:d6:43:4b:26:df,PigPen,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-01-31 12:55:16,2,-63,14.64883455,121.05473857,96,4.550999641418457,WIFI
a0:ab:1b:96:58:e1,Stingray-G,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:55:16,1,-77,14.64883455,121.05473857,96,4.550999641418457,WIFI
a0:ab:1b:96:58:e0,Cumm4Me,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-01-31 12:55:16,1,-76,14.64883455,121.05473857,96,4.550999641418457,WIFI
90:61:0c:1f:66:ba,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-01-31 12:55:16,11,-84,14.64883455,121.05473857,96,4.550999641418457,WIFI
78:c1:a7:05:24:a4,JnYglobe,[WPA-PSK-CCMP+TKIP][ESS],2018-01-31 12:55:16,6,-89,14.64883455,121.05473857,96,4.550999641418457,WIFI
90:61:0c:1f:66:ba,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-01-31 12:55:21,11,-76,14.64884166,121.05490628,94,4.550999641418457,WIFI
00:13:33:d3:4a:ff,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:55:21,11,-80,14.64884166,121.05490628,94,4.550999641418457,WIFI
08:95:2a:5b:4b:f4,SKYbroadband3003,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-01-31 12:55:21,6,-88,14.64884166,121.05490628,94,4.550999641418457,WIFI
00:13:33:d3:4a:ff,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:55:25,11,-72,14.64891588,121.05509176,96,4.550999641418457,WIFI
90:61:0c:1f:66:5a,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-01-31 12:55:25,11,-79,14.64891588,121.05509176,96,4.550999641418457,WIFI
80:29:94:68:33:d5,SKYbroadband33D2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:55:25,1,-89,14.64891588,121.05509176,96,4.550999641418457,WIFI
20:aa:4b:e7:30:7b,ELEANOR/ROUTER,[WPA2-PSK-CCMP][WPS][ESS],2018-01-31 12:55:30,3,-86,14.64901734,121.05529893,96,6.067999839782715,WIFI
f0:98:38:72:ba:c8,EPA MAIN-HUAWEI,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-01-31 12:55:30,1,-88,14.64901734,121.05529893,96,6.067999839782715,WIFI
