Common,249
BSSID,SSID,Encryption,Channel
00:21:29:7b:5c:54,BalaiTalakayan,WPA,6
a0:8c:fd:98:48:bf,DIRECT-69-HP DeskJet 3630 series,WPA2,6
80:57:19:67:a6:db,Bcdr-RkU,OPN,6
00:23:69:2c:65:2d,ALUGLOBE,WEP,6
04:02:1f:4e:57:3e,B315_E573E,WPA2,11
74:ea:3a:df:99:36,CIED WiFi,WPA2/WPA,11
d8:5d:4c:ff:6d:08,WiFi,WPA2/WPA,11
50:04:b8:ee:ce:f1,HUAWEI-CEF1,WPA2,1
14:91:82:14:e4:12,IsidroGlobe,WPA2/WPA,1
54:b8:0a:36:61:68,Central,WPA2/WPA,11
00:13:33:ea:82:fa,PLDTHOMEDSL,WPA2/WPA,11
90:61:0c:39:d2:6e,PLDTHOMEDSL53870,WPA2/WPA,11
5e:f4:ab:36:7c:a0,PLDTMyDSLBiz,WPA2/WPA,11
f0:98:38:3d:eb:48,HUAWEI,WPA2/WPA,4
2c:44:fd:be:96:fd,HP-Print-FD-Deskjet 2540 series,WPA2,6
94:46:96:1d:48:72,PLDTHOMEDSL4J4E0,WPA2/WPA,5
90:61:0c:2d:d3:0b,PROLINK_H5004NK_DD30B,WPA2,11
00:13:33:d3:4a:ff,PLDTHOMEDSL,WPA2/WPA,11
a0:ab:1b:96:58:e0,Cumm4Me,WPA2/WPA,1
a0:ab:1b:96:58:e1,Stingray-G,WPA2/WPA,1
9c:d6:43:4b:26:df,PigPen,WPA2/WPA,2
78:c1:a7:05:24:a4,JnYglobe,WPA,6
90:61:0c:1f:66:ba,PLDTHOMEDSL,WPA2/WPA,11
90:61:0c:1f:66:5a,PLDTHOMEDSL,WPA2/WPA,11
d0:b2:c4:56:a3:0f,SKYbroadbandA30C,WPA2/WPA,11
00:13:33:e7:96:ad,PLDTHOMEDSL,WPA2/WPA,11
94:fb:b2:59:aa:60,PLDTHOMEDSL,WPA2/WPA,11
00:13:33:c6:69:4c,PLDTHOMEDSL,WPA2/WPA,11
5a:e3:47:f8:8c:b1,LDC_SAP_LENOVO-PC,WPA2,11
