Common,188
BSSID,SSID,Wigle-Encryption,RPi-Encryption,Wigle-Channel,RPi-Channel,Wigle Avg RSSI,RPi Avg RSSI
50:c7:bf:d8:62:57,NHA-WiFi-Guest,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,3,3,-88,-84
74:ea:3a:df:99:36,CIED WiFi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-preauth][ESS],WPA2/WPA,11,11,-84,-86
a0:8c:fd:98:48:bf,DIRECT-69-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS],WPA2,6,6,-86,-84
c0:56:27:83:28:00,PSU,[WEP][ESS],WEP,1,1,-86,-86
88:3f:d3:05:e7:d0,HUAWEI-6443,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-86,-87
00:23:69:2c:65:2d,ALUGLOBE,[WEP][ESS],WEP,6,6,-88,-89
80:57:19:67:a6:db,Bcdr-RkU,[ESS],OPN,6,6,-86,-80
00:21:29:7b:5c:54,BalaiTalakayan,[WPA-PSK-TKIP][WPS][ESS],WPA,6,6,-85,-86
88:d2:74:a8:fe:54,Cradle of Learners,[WPA-PSK-CCMP+TKIP][WPS][ESS],WPA,2,2,-85,-87
04:02:1f:4e:57:3e,B315_E573E,[WPA2-PSK-CCMP][ESS],WPA2,11,11,-85,-81
50:04:b8:ee:ce:f1,HUAWEI-CEF1,[WPA2-PSK-CCMP][ESS],WPA2,1,1,-82,-81
14:91:82:14:e4:12,IsidroGlobe,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-76,-83
54:b8:0a:36:61:68,Central,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-84,-83
88:3f:d3:06:29:38,HUAWEI-Bn7b,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,7,7,-87,-86
c4:12:f5:75:e3:8a,bilan,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,3,3,-79,-73
00:1f:fb:ac:64:8b,Macaraeg,[WPA2-PSK-CCMP][WPS][ESS],WPA2,10,10,-87,-87
00:13:33:ea:82:fa,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-88,-83
94:46:96:1d:48:72,PLDTHOMEDSL4J4E0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,5,5,-78,-91
5e:f4:ab:36:7c:a0,PLDTMyDSLBiz,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-76,-89
90:61:0c:39:d2:6e,PLDTHOMEDSL53870,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-84,-85
2c:44:fd:be:96:fd,HP-Print-FD-Deskjet 2540 series,[WPA2-PSK-CCMP][ESS],WPA2,6,6,-85,-76
f0:98:38:3d:eb:48,HUAWEI,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,4,4,-83,-79
9c:d6:43:4b:26:df,PigPen,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,2,2,-71,-77
78:c1:a7:05:c5:5c,LUCAS INTERNET,[WPA-PSK-CCMP+TKIP][ESS],WPA,2,2,-75,-72
90:61:0c:2d:d3:0b,PROLINK_H5004NK_DD30B,[WPA2-PSK-CCMP][WPS][ESS],WPA2,11,11,-84,-81
a0:ab:1b:96:58:e1,Stingray-G,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-80,-85
a0:ab:1b:96:58:e0,Cumm4Me,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-80,-85
d0:b2:c4:56:a3:0f,SKYbroadbandA30C,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-86,-91
90:61:0c:1f:66:ba,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-80,-81
78:c1:a7:05:24:a4,JnYglobe,[WPA-PSK-CCMP+TKIP][ESS],WPA,6,6,-89,-91
00:13:33:d3:4a:ff,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-76,-75
90:61:0c:1f:66:5a,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-79,-79
20:aa:4b:e7:30:7b,ELEANOR/ROUTER,[WPA2-PSK-CCMP][WPS][ESS],WPA2,3,3,-86,-91
f0:98:38:72:ba:c8,EPA MAIN-HUAWEI,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-88,-88
88:d2:74:86:ac:19,bayanDSLWIFI_AC19,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,2,2,-78,-80
fc:b4:e6:4a:ca:db,SKYbroadband1860,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-83,-91
00:13:33:c6:69:4c,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-84,-75
94:fb:b2:59:aa:60,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-77,-78
00:13:33:e7:96:ad,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-75,-80
2c:4d:54:d9:fd:68,Dunby,[WPA2-PSK-CCMP][WPS][ESS],WPA2,3,3,-74,-84
14:b7:f8:0b:8d:9f,Tantoco AirPort Extreme,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,6,6,-88,-88
c8:d3:a3:6f:65:84,dvt555,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-88,-90
ee:1d:7f:a1:3d:ca,Kabogsss,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,13,13,-81,-80
28:ff:3e:3d:e7:00,bayanDSLWIFI_E700,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,7,7,-86,-90
98:de:d0:be:64:29,TP-LINK_6429,[WPA2-PSK-CCMP][WPS][ESS],WPA2,2,2,-83,-74
e8:de:27:9a:b3:d8,NAFS,[WPS][ESS],OPN,11,11,-78,-80
5a:e3:47:f8:8c:b1,LDC_SAP_LENOVO-PC,[WPA2-PSK-CCMP][ESS],WPA2,11,11,-77,-83
fa:8f:ca:51:06:86,,[ESS],OPN,9,9,-83,-87
48:00:33:62:3a:75,SKYbroadband3A72,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-74,-88
48:7b:6b:f0:72:f8,ACEJ FAM,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,9,9,-78,-82
48:db:50:d0:09:cd,HUAWEI-E5330-09CD,[WPA2-PSK-CCMP][ESS],WPA2,4,4,-87,-83
cc:5d:4e:ac:d7:08,PLDTMyDSL19,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-79,-86
4c:81:20:f3:29:bb,PLDTHOMEDSL329BB,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,6,6,-84,-86
a4:2b:b0:f8:9e:87,PLDTHOMEDSL_AF5Y_EXT,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-86,-85
00:13:33:f5:c1:54,PLDTHOMEDSL_AF5Y,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-80,-81
c8:d3:a3:15:b2:98,KOALA,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,13,13,-84,-83
00:1f:fb:ac:7e:9d,HomeBro_ULTERA,[WPA2-PSK-CCMP][WPS][ESS],WPA2,11,11,-79,-79
94:46:96:1c:f6:15,E,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-88,-88
50:c7:bf:7b:19:d4,TP-LINK MALINIS,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],WPA2/WPA,11,11,-86,-88
80:29:94:68:33:81,SKYbroadband337E,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-86,-88
80:29:94:68:33:f5,SKYbroadband33F2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-81,-91
08:95:2a:89:3c:6a,SKYbroadband4321,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-71,-89
00:13:33:ce:c7:b8,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-81,-76
f8:d1:11:83:78:44,Virus Detected,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-87,-88
c8:d7:19:1b:14:26,2017_Trojan_Virus!@&*%,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,2,2,-82,-90
50:09:59:85:b9:e5,SKYbroadbandB9E2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-88,-86
88:3f:d3:2d:db:70,GPF-Globe,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,5,5,-81,-81
00:18:f8:a4:31:fb,GPF,[WPA-PSK-TKIP][ESS],WPA,11,11,-81,-90
58:70:c6:f7:42:4d,YICarCam_F7424D,[WPA2-PSK-CCMP][WPS][ESS],WPA2,5,5,-70,-76
aa:6b:6e:49:95:18,Happy Birthday,[WPA2-PSK-CCMP][ESS],WPA2,1,1,-75,-88
50:09:59:83:82:81,(Alporha and Rodriguez_ 2016),[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS], 2016),6,WPA2/WPA,-84,0.118568683925
48:00:33:f3:09:3d,SKYbroadband093A,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-81,-88
18:de:d7:34:79:6c,HUAWEI-kc87,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,2,2,-86,-89
f4:e3:fb:e5:49:fc,XRZ-850,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,7,7,-75,-68
00:1f:fb:ba:d2:8b,LynKoCus6-07,[WPA2-PSK-CCMP][WPS][ESS],WPA2,11,11,-85,-83
bc:c0:0f:bf:79:80,PLDTHOMEFIBRf7980,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,9,9,-87,-84
48:f8:b3:a9:6d:bc,HFSPrivate,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,8,8,-88,-77
20:25:64:cb:84:7e,979384,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-84,-86
28:92:4a:14:9f:84,HOLYFAMILY,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,13,13,-87,-82
9c:a3:a9:09:07:f9,IPCF3680910265870,[ESS],OPN,1,1,-72,-72
48:00:33:62:8a:79,SKYbroadband8A76,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-82,-81
48:00:33:62:31:0d,SKYbroadband310A,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-86,-90
f8:32:e4:b2:07:70,HOLYFAMILY,[WPA2-PSK-CCMP][WPS][ESS],WPA2,6,6,-80,-77
f6:9f:c2:57:be:90,Aralinks_Hub2,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],WPA2/WPA,1,1,-86,-77
b6:4e:26:4c:12:53,TFMGT Office_Guest,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,2,2,-81,-84
88:d2:74:86:c4:cb,bayanDSLWIFI_C4CB,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-73,-75
ba:4e:26:4c:12:53,,[WPA2-PSK-CCMP][ESS],WPA2,2,2,-79,-83
cc:06:77:6e:cd:90,PLDTHOMEFIBRecd90,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,4,4,-80,-83
bc:c0:0f:7b:c2:08,FIBERHOME_bc208,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],WPA2/WPA,3,3,-80,-70
bc:c0:0f:1f:c1:b8,PLDTHOMEFIBRfc1b8,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,8,8,-85,-85
e4:7d:eb:03:22:2c,Aircast_Wifi_44,[WPA2-PSK-CCMP+TKIP][ESS],WPA2,10,10,-82,-87
cc:06:77:6e:cf:08,PLDTHOMEFIBRecf08,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,9,9,-87,-80
e0:8e:3c:2d:fa:d5,bayanDSLWIFI_FAD5,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-85,-79
70:5a:9e:84:02:80,MariaClare,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-85,-79
14:b7:f8:0b:38:33,Chibutt,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-85,-77
e0:8e:3c:21:45:ff,bayanDSLWIFI_45FF,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-82,-77
3c:a6:16:a3:e7:79,vivo 1718,[WPA2-PSK-CCMP][ESS],WPA2,6,6,-78,-77
ac:86:74:4a:09:53,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,5,5,-80,-81
00:13:33:e1:c9:15,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-81,-77
b6:4e:26:4c:0f:dd,TFMGT Office_Guest,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,2,2,-86,-88
ac:86:74:4a:09:52,CloudTrax,[ESS],OPN,5,5,-77,-81
f0:98:38:f9:14:28,Fiber200,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,3,3,-74,-73
38:d8:2f:22:3d:48,bayanDSLWiFi_3D48,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-72,-62
b0:4e:26:4c:12:53,TFMGT Office,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,2,2,-84,-86
cc:1a:fa:97:cf:b8,bayanDSL,[WPA-PSK-CCMP+TKIP][ESS],WPA,10,10,-77,-80
cc:06:77:6f:30:40,SAIGON PHO1,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,7,7,-77,-75
9c:6f:52:34:ff:b6,Zentea,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-82,-80
9c:6f:52:34:ff:b9,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-83,-84
dc:09:4c:14:29:cf,Monmon,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,8,8,-85,-89
fa:8f:ca:50:af:9a,,[ESS],OPN,11,11,-77,-75
cc:06:77:60:3e:98,PLDTHOMEFIBR03e98,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,1,1,-86,-75
5c:6a:80:1a:25:c6,Snow Creme,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,6,6,-72,-74
00:13:33:dc:91:af,PLDTHOMEDSLDAL1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-73,-85
98:e7:f5:94:4a:ca,HUAWEI-E5330-4ACA,[WPA2-PSK-CCMP][ESS],WPA2,2,2,-69,-86
cc:06:77:e1:1f:90,PLDTHOMEFIBR11f90,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,5,5,-81,-85
ba:4e:26:4c:0e:e3,,[WPA2-PSK-CCMP][ESS],WPA2,2,2,-88,-87
f0:98:38:72:db:98,ZGMKTGCORP,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,4,4,-88,-87
b0:4e:26:4c:0e:e3,TFMGT Office,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,2,2,-85,-88
28:10:7b:f1:02:bc,Diliman Bible Church,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,2,2,-79,-85
00:e0:20:3b:00:75,Extension 3,[WPA-PSK-CCMP][WPS][ESS],WPA,6,6,-86,-83
18:a6:f7:8e:ef:ac,PSCSEND-Conference,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-72,-82
e0:8e:3c:21:f2:cb,bayanDSLWIFI_F2CB,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-77,-80
5c:f2:86:25:75:0b,lester8182,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,8,8,-88,-88
0e:41:58:00:9f:ef,Wireless-N ext 1,[WPA-PSK-CCMP][ESS],WPA,6,6,-89,-90
aa:a6:68:58:d8:01,Smart Bro_58D801,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,13,13,-89,-86
cc:06:77:63:37:90,Estivlings,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,4,4,-82,-79
e8:cd:2d:7f:11:4d,glyph,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,8,8,-77,-83
90:61:0c:2e:02:f3,PLDTHOMEDSL00755,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-84,-79
90:61:0c:2e:02:f4,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-85,-81
00:13:33:f4:2a:f7,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,6,6,-76,-66
00:13:33:f4:2a:f6,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,6,6,-77,-68
94:46:96:1e:9b:87,PLDTHOMEDSLW3WH0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,2,2,-74,-77
00:13:33:ed:62:7d,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,2,2,-86,-78
00:e0:20:60:71:69,Estivlings_Ext1,[WPA2-PSK-CCMP][WPS][ESS],WPA2,4,4,-86,-84
