BSSID,SSID,Encryption,Channel,Average Beacon Interval,Average Strength Signal,Number of Packets,Interval Summation,RSSI Summation
c0:56:27:83:28:00,PSU,WEP,1,0.0511869192123,-86,2,0.102373838425,-172
88:d2:74:a8:fe:54,Cradle of Learners,WPA,2,1.8124904871,-87,10,18.124904871,-861
50:c7:bf:d8:62:57,NHA-WiFi-Guest,WPA2/WPA,3,0.12799474597,-84,8,1.02395796776,-668
00:21:29:7b:5c:54,BalaiTalakayan,WPA,6,0.96473995008,-86,19,18.3300590515,-1620
a0:8c:fd:98:48:bf,DIRECT-69-HP DeskJet 3630 series,WPA2,6,0.512048482895,-84,2,1.02409696579,-168
80:57:19:67:a6:db,Bcdr-RkU,OPN,6,0.132519595763,-80,17,2.25283312798,-1360
00:23:69:2c:65:2d,ALUGLOBE,WEP,6,-1,-89,1,0,-89
84:16:f9:3f:f2:3e,TUCPVP,WPA2,9,0.102401971817,-87,4,0.409607887268,-347
04:02:1f:4e:57:3e,B315_E573E,WPA2,11,0.143364477158,-81,25,3.58411192894,-2006
94:fe:22:b1:95:df,TUCP OFFICE,WPA2/WPA,10,0.183990192413,-92,5,0.919950962067,-458
88:3f:d3:05:e7:d0,HUAWEI-6443,WPA2/WPA,11,0.263424515724,-87,8,2.10739612579,-695
74:ea:3a:df:99:36,CIED WiFi,WPA2/WPA,11,0.273153914346,-86,9,2.45838522911,-770
88:d2:74:86:d1:a5,bayanDSLWIFI_D1A5,WPA2/WPA,10,-1,-92,1,0,-92
00:13:33:e6:02:7f,PLDTHOMEDSL,WPA2/WPA,11,-1,-92,1,0,-92
d8:5d:4c:ff:6d:08,WiFi,WPA2/WPA,11,-1,-94,1,0,-94
50:04:b8:ee:ce:f1,HUAWEI-CEF1,WPA2,1,0.204885435104,-81,5,1.02442717552,-405
14:91:82:14:e4:12,IsidroGlobe,WPA2/WPA,1,0.102463218901,-83,9,0.922168970108,-742
bc:c0:0f:7b:a5:30,FIBERHOME_ba530,WPA2/WPA,4,0.204781508446,-84,10,2.04781508446,-833
88:3f:d3:06:29:38,HUAWEI-Bn7b,WPA2/WPA,7,0.240845775604,-86,5,1.20422887802,-427
f0:98:38:3d:db:04,Central,WPA2/WPA,10,0.280989217758,-87,5,1.40494608879,-435
50:c7:bf:d8:60:70,NHA-WiFi-Guest,WPA2/WPA,9,0.204801837603,-85,6,1.22881102562,-508
54:b8:0a:36:61:68,Central,WPA2/WPA,11,0.182047870424,-83,9,1.63843083382,-742
34:ba:9a:54:92:0f,Smart_Bro_54920F,WPA2,10,-1,-90,1,0,-90
00:1f:fb:ac:64:8b,Macaraeg,WPA2,10,0.102402872509,-87,9,0.921625852585,-781
00:13:33:ea:82:fa,PLDTHOMEDSL,WPA2/WPA,11,0.221867163976,-83,12,2.66240596771,-992
90:61:0c:39:d2:6e,PLDTHOMEDSL53870,WPA2/WPA,11,0.115200012922,-85,8,0.921600103378,-680
5e:f4:ab:36:7c:a0,PLDTMyDSLBiz,WPA2/WPA,11,1.13244070726,-89,17,19.2514920235,-1498
90:61:0c:3a:45:08,PLDTHOMEDSL17672,WPA2/WPA,1,0.184306240082,-85,5,0.921531200409,-423
c4:12:f5:75:e3:8a,bilan,WPA2/WPA,3,0.137712412867,-73,29,3.99365997314,-2098
f0:98:38:3d:eb:48,HUAWEI,WPA2/WPA,4,0.138582706451,-79,21,2.91023683548,-1655
2c:44:fd:be:96:fd,HP-Print-FD-Deskjet 2540 series,WPA2,6,0.149338036776,-76,24,3.58411288261,-1824
94:46:96:1d:48:72,PLDTHOMEDSL4J4E0,WPA2/WPA,5,0.358395457268,-91,2,0.716790914536,-182
90:61:0c:2d:d3:0b,PROLINK_H5004NK_DD30B,WPA2,11,0.184321610133,-81,15,2.76482415199,-1205
00:13:33:d3:4a:ff,PLDTHOMEDSL,WPA2/WPA,11,0.827395401001,-75,25,20.684885025,-1870
fc:8b:97:35:83:6a,PLDTMyDSL,WPA2/WPA,11,0.136534929276,-77,3,0.409604787827,-231
90:61:0c:3a:8d:17,PLDTHOMEDSL36119,WPA2/WPA,1,0.0930999842557,-79,11,1.02409982681,-866
a0:ab:1b:96:58:e0,Cumm4Me,WPA2/WPA,1,1.22881466548,-85,15,18.4322199821,-1263
