BSSID,SSID,Encryption,Channel,Average Beacon Interval,Average Strength Signal,Number of Packets,Interval Summation,RSSI Summation
a0:8c:fd:98:48:bf,DIRECT-69-HP DeskJet 3630 series,WPA2,6,0.0768102407455,-83,4,0.307240962982,-331
d8:5d:4c:ff:6d:08,WiFi,WPA2/WPA,11,0.314031728109,-86,15,4.71047592163,-1289
74:ea:3a:df:99:36,CIED WiFi,WPA2/WPA,11,0.49979133317,-86,33,16.4931139946,-2817
c0:56:27:83:28:00,PSU,WEP,1,-1,-80,1,0,-80
80:57:19:67:a6:db,Bcdr-RkU,OPN,6,0.577833856855,-84,14,8.08967399597,-1172
00:23:69:2c:65:2d,ALUGLOBE,WEP,6,-1,-90,1,0,-90
00:21:29:7b:5c:54,BalaiTalakayan,WPA,6,0.555871970313,-85,35,19.455518961,-2942
14:91:82:14:e4:12,IsidroGlobe,WPA2/WPA,1,2.59415133794,-87,6,15.5649080276,-520
04:02:1f:4e:57:3e,B315_E573E,WPA2,11,0.378445656403,-82,23,8.70425009727,-1883
50:04:b8:ee:ce:f1,HUAWEI-CEF1,WPA2,1,0.255887508392,-82,2,0.511775016785,-163
54:b8:0a:36:61:68,Central,WPA2/WPA,11,0.234062478656,-82,21,4.91531205177,-1704
00:13:33:ec:d1:f0,PLDTHOMEDSL,WPA2/WPA,1,1.10079723597,-85,4,4.40318894386,-340
00:13:33:ed:40:b8,PLDTHOMEDSLjbtvelandria,WPA2/WPA,1,0.0510020256042,-89,2,0.102004051208,-177
00:13:33:ea:82:fa,PLDTHOMEDSL,WPA2/WPA,11,0.131643976484,-86,7,0.921507835388,-599
5e:f4:ab:36:7c:a0,PLDTMyDSLBiz,WPA2/WPA,11,0.438406124711,-86,32,14.0289959908,-2747
90:61:0c:39:d2:6e,PLDTHOMEDSL53870,WPA2/WPA,11,0.321831285954,-77,28,9.0112760067,-2151
94:46:96:1d:48:72,PLDTHOMEDSL4J4E0,WPA2/WPA,5,-1,-74,1,0,-74
2c:44:fd:be:96:fd,HP-Print-FD-Deskjet 2540 series,WPA2,6,0.318530886262,-83,27,8.60033392906,-2233
90:61:0c:2d:d3:0b,PROLINK_H5004NK_DD30B,WPA2,11,0.691216488679,-87,12,8.29459786415,-1036
f0:98:38:3d:eb:48,HUAWEI,WPA2/WPA,4,-1,-82,1,0,-82
00:13:33:d3:4a:ff,PLDTHOMEDSL,WPA2/WPA,11,0.620090610451,-81,36,22.3232619762,-2882
9c:d6:43:4b:26:df,PigPen,WPA2/WPA,2,1.27270698547,-75,7,8.90894889832,-519
a0:ab:1b:96:58:e1,Stingray-G,WPA2/WPA,1,1.97354518283,-86,11,21.7089970112,-941
d0:b2:c4:56:a3:0f,SKYbroadbandA30C,WPA2/WPA,11,0.717042505741,-87,8,5.73634004593,-689
00:13:33:e5:f9:e2,PLDTHOMEDSLironman,WPA2/WPA,11,0.153601467609,-86,4,0.614405870438,-341
a0:ab:1b:96:58:e0,Cumm4Me,WPA2/WPA,1,3.05494646231,-84,6,18.3296787739,-504
78:c1:a7:05:24:a4,JnYglobe,WPA,6,0.674643418368,-87,17,11.4689381123,-1479
90:61:0c:1f:66:ba,PLDTHOMEDSL,WPA2/WPA,11,0.443737838003,-83,18,7.98728108406,-1481
90:61:0c:1f:66:5a,PLDTHOMEDSL,WPA2/WPA,11,0.549240773374,-85,22,12.0832970142,-1857
80:29:94:68:33:d5,SKYbroadband33D2,WPA2/WPA,1,0.273055632909,-79,3,0.819166898727,-237
00:26:75:dd:54:cc,Tresmarias,WPA,11,0.176865014163,-88,11,1.94551515579,-959
00:13:33:e7:96:ad,PLDTHOMEDSL,WPA2/WPA,11,0.674916272814,-83,44,29.6963160038,-3618
fc:b4:e6:4a:ca:db,SKYbroadband1860,WPA2/WPA,1,0.559798002243,-84,15,8.39697003365,-1251
94:fb:b2:59:aa:60,PLDTHOMEDSL,WPA2/WPA,11,0.541873633862,-85,24,13.0049672127,-2023
14:b7:f8:0b:8d:9f,Tantoco AirPort Extreme,WPA2/WPA,6,0.62416938373,-88,21,13.1075570583,-1846
00:13:33:c6:69:4c,PLDTHOMEDSL,WPA2/WPA,11,0.405153699543,-85,23,9.31853508949,-1952
c8:d3:a3:6f:65:84,dvt555,WPA2/WPA,1,0.102413415909,-86,5,0.512067079544,-429
e8:de:27:9a:b3:d8,NAFS,OPN,11,0.624142921888,-84,39,24.3415739536,-3262
5a:e3:47:f8:8c:b1,LDC_SAP_LENOVO-PC,WPA2,11,0.603424823284,-83,40,24.1369929314,-3307
98:de:d0:be:64:29,TP-LINK_6429,WPA2,2,0.229812204838,-78,4,0.919248819351,-312
4c:81:20:f3:29:bb,PLDTHOMEDSL329BB,WPA2/WPA,6,0.502481859784,-88,43,21.6067199707,-3752
cc:5d:4e:ac:d7:08,PLDTMyDSL19,WPA2/WPA,11,0.981861002305,-88,17,16.6916370392,-1486
48:00:33:62:3a:75,SKYbroadband3A72,WPA2/WPA,1,0.694872362273,-79,14,9.72821307182,-1106
48:00:33:62:30:f1,SKYbroadband30EE,WPA2/WPA,1,0.652810245752,-82,8,5.22248196602,-652
94:46:96:1c:f6:15,E,WPA2/WPA,1,3.46095399857,-90,5,17.3047699928,-447
00:13:33:f5:c1:54,PLDTHOMEDSL_AF5Y,WPA2/WPA,1,0.583688433965,-85,30,17.510653019,-2534
80:29:94:68:33:81,SKYbroadband337E,WPA2/WPA,11,0.474613693025,-85,36,17.0860929489,-3055
a4:2b:b0:f8:9e:87,PLDTHOMEDSL_AF5Y_EXT,WPA2/WPA,1,0.43978369236,-87,10,4.3978369236,-869
00:13:33:ce:c7:b8,PLDTHOMEDSL,WPA2/WPA,11,0.50955757073,-83,42,21.4014179707,-3481
00:1f:fb:ac:7e:9d,HomeBro_ULTERA,WPA2,11,0.404541616087,-82,81,32.767870903,-6599
08:95:2a:89:3c:6a,SKYbroadband4321,WPA2/WPA,1,1.36535879771,-88,15,20.4803819656,-1309
80:29:94:68:33:f5,SKYbroadband33F2,WPA2/WPA,1,0.469850231619,-86,17,7.98745393753,-1455
50:c7:bf:7b:19:d4,TP-LINK MALINIS,WPA2/WPA,11,0.600356864929,-88,15,9.00535297394,-1314
00:13:33:e5:fd:e8,PLDTHOMEDSL,WPA2/WPA,11,0.409604597092,-87,10,4.09604597092,-861
e4:58:e7:5b:73:eb,jjk,WPA2,6,-1,-97,1,0,-97
18:d6:c7:23:95:10,admin,WPA2/WPA,6,0.0511934757233,-94,2,0.102386951447,-188
f8:d1:11:83:78:44,Virus Detected,WPA2/WPA,1,0.978509426117,-88,9,8.80658483505,-791
c8:d7:19:1b:14:26,2017_Trojan_Virus!@&*%,WPA2/WPA,2,0.409579992294,-82,2,0.819159984589,-164
50:09:59:85:b9:e5,SKYbroadbandB9E2,WPA2/WPA,1,0.710792471381,-87,17,12.0834720135,-1477
00:18:f8:a4:31:fb,GPF,WPA,11,0.669544843527,-89,13,8.70408296585,-1150
50:09:59:83:82:81,"(Alporha and Rodriguez, 2016)",WPA2/WPA,6,0.534271872562,-86,23,12.2882530689,-1963
58:70:c6:f7:42:4d,YICarCam_F7424D,WPA2,5,0.634485707564,-70,51,32.3587710857,-3554
48:00:33:62:32:59,SKYbroadband3256,WPA2/WPA,11,0.446832808581,-85,11,4.91516089439,-926
aa:6b:6e:49:95:18,Happy Birthday,WPA2,1,0.534766885969,-84,9,4.81290197372,-755
48:00:33:f3:09:3d,SKYbroadband093A,WPA2/WPA,1,0.997110575438,-88,16,15.953769207,-1399
88:3f:d3:2d:db:70,GPF-Globe,WPA2/WPA,5,0.82286658287,-85,5,4.11433291435,-421
94:46:96:17:0f:d3,PLDTHOMEDSL0H0H0,WPA2/WPA,1,0.128062874079,-85,8,1.02450299263,-675
9c:a3:a9:09:07:f9,IPCF3680910265870,OPN,1,0.409609833429,-76,43,17.6132228374,-3250
00:1f:fb:c6:15:79,HomeBro_ULTERA,WPA2,1,0.17064499855,-90,3,0.511934995651,-270
74:cc:39:97:db:d8,G U E S S ?,WPA2/WPA,1,-1,-91,1,0,-91
00:1f:fb:ba:d2:8b,LynKoCus6-07,WPA2,11,1.00038862228,-90,13,13.0050520897,-1164
18:de:d7:34:79:6c,HUAWEI-kc87,WPA2/WPA,2,1.0286257267,-83,4,4.1145029068,-332
64:70:02:92:b9:94,UNITY_SUBORDINATE,WPA2,6,-1,-93,1,0,-93
14:b7:f8:0b:41:fb,SKYbroadband41F8,WPA2/WPA,6,0.685312692936,-87,13,8.90906500816,-1123
b0:b2:dc:aa:c8:8c,PLDTMyDSLvirus,WPA2/WPA,11,0.204794049263,-90,2,0.409588098526,-180
20:25:64:cb:84:7e,979384,WPA2/WPA,11,0.745036692455,-87,29,21.6060640812,-2518
48:00:33:62:31:0d,SKYbroadband310A,WPA2/WPA,11,1.86030843523,-84,18,33.4855518341,-1511
48:00:33:62:8a:79,SKYbroadband8A76,WPA2/WPA,1,0.38093372345,-85,25,9.52334308624,-2110
f6:9f:c2:57:be:90,Aralinks_Hub2,WPA2/WPA,1,0.628942689029,-80,55,34.5918478966,-4348
88:3f:d3:06:29:6c,DESKARTE,WPA2/WPA,1,1.43857733409,-90,3,4.31573200226,-270
