Last Updt,Last Time,MAC,SSID,Encryption,Channel,Latitude,Longitude
2013-04-17 03:00:00,2013-04-17 05:00:00,00:12:17:db:c7:f3,linksys,wep,6,14.69942856,121.10014343
2016-03-16 06:00:00,2016-03-16 06:00:00,00:13:33:ce:e2:43,PLDTHOMEDSLNALZARO,wpa2,11,14.7000761,121.09123993
2015-07-26 08:00:00,2015-01-26 15:00:00,00:13:33:c6:de:0e,PLDTHOMEDSL,wpa2,11,14.69803143,121.09059143
2013-04-25 05:00:00,2013-04-25 07:00:00,00:1a:70:53:f0:e2,linksys,none,11,14.69912434,121.10221863
2013-04-25 05:00:00,2013-04-25 07:00:00,00:1b:11:3c:2c:61,KEISHA,wep,6,14.69935322,121.10236359
2013-04-17 03:00:00,2013-04-17 05:00:00,00:1a:8c:08:05:41,Conference Guest Wifi,none,1,14.69707394,121.09632111
2013-05-07 12:00:00,2013-05-07 14:00:00,00:18:39:eb:bf:30,linksys,none,6,14.70044231,121.10298157
2013-05-07 12:00:00,2013-05-07 14:00:00,00:1a:70:f2:c1:e3,cmod,wpa,11,14.6973381,121.09849548
2013-05-06 15:00:00,2013-05-06 17:00:00,00:18:39:f4:32:f7,Dealino Home Network,wpa2,6,14.70015621,121.1029129
2013-05-07 12:00:00,2013-05-07 14:00:00,00:1e:e5:48:42:22,linksys,none,11,14.69719791,121.09884644
2013-04-17 03:00:00,2013-04-17 05:00:00,00:1a:8c:08:05:40,Conference Guest Wifi,none,1,14.69707394,121.09632111
2013-05-07 12:00:00,2013-05-07 14:00:00,00:22:3f:9b:e0:24,i miss you popoy,wpa2,8,14.69942665,121.10023499
2013-04-25 05:00:00,2013-04-25 07:00:00,00:22:6b:6f:9b:73,Raud,wpa2,6,14.69808292,121.09955597
2013-05-07 12:00:00,2013-05-07 14:00:00,00:1f:fb:75:1b:64,kurtwifi,wpa,11,14.69948864,121.10001373
2013-05-07 12:00:00,2013-05-07 14:00:00,00:23:69:c3:9f:17,Free Public Wifi,wpa2,6,14.69946766,121.10189056
2013-05-07 12:00:00,2013-05-07 14:00:00,00:24:b2:bc:2d:42,NETGEAR,wpa,1,14.69725132,121.09879303
2013-04-25 05:00:00,2013-04-25 07:00:00,00:23:69:ce:85:a4,MATRIX,wep,1,14.69811153,121.10100555
2013-04-25 05:00:00,2013-04-25 07:00:00,00:22:6b:78:38:c6,galbraithWIFI,wpa2,6,14.6978569,121.10001373
2013-04-25 05:00:00,2013-04-25 07:00:00,00:23:69:2c:04:bc,linksys,none,6,14.69919205,121.10227203
2013-05-07 12:00:00,2013-05-07 14:00:00,00:23:69:a0:d9:76,garcia,wpa,1,14.69937706,121.10054779
2013-05-07 12:00:00,2013-05-07 14:00:00,00:24:b2:bc:0b:78,3M,wpa2,1,14.6996851,121.10214996
2013-05-07 12:00:00,2013-05-07 14:00:00,00:24:01:b8:de:b9,dlink,wep,6,14.69955921,121.09957886
2013-05-06 15:00:00,2013-05-06 17:00:00,00:23:12:09:02:19,Rene Parcon's MacBook,none,11,14.70033646,121.10262299
2017-06-09 13:00:00,2017-06-09 13:00:00,00:26:75:ce:a3:0c,Aztech5018_EA30F,wpa,4,14.70457172,121.10164642
2013-05-07 12:00:00,2013-05-07 14:00:00,00:1f:33:26:34:3c,NoPermanentPassword,wpa2,11,14.69723415,121.09840393
2013-04-17 03:00:00,2013-04-17 05:00:00,00:24:01:bc:cf:ed,CHRIS-PC_Network,wpa2,6,14.69931984,121.10189056
2015-07-26 08:00:00,2014-04-01 03:00:00,20:aa:4b:67:06:8f,srdp_virus_2,wpa2,6,14.70087433,121.09778595
2013-05-07 12:00:00,2013-05-07 14:00:00,00:26:5a:25:56:40,howell1,wep,1,14.69947624,121.10005188
2013-05-07 12:00:00,2013-05-07 14:00:00,02:a5:56:0b:d9:61,MP3King Airwaves 5,none,6,14.69900227,121.09819794
2016-02-27 15:00:00,2016-02-27 15:00:00,02:f8:1c:17:26:3d,HUAWEI Y600-U20,wpa2,1,14.70362473,121.09126282
2013-04-25 05:00:00,2013-04-25 07:00:00,00:86:12:08:0f:88,YSAGANDA,none,6,14.69803905,121.10093689
2013-04-25 05:00:00,2013-04-25 07:00:00,08:60:6e:d3:0e:a8,ASUS,none,7,14.69823456,121.10124207
2015-07-26 08:00:00,2015-01-26 15:00:00,16:9f:e8:de:f2:2e,Lenovo P700i,wpa2,1,14.7025671,121.09090424
2013-05-06 15:00:00,2013-05-06 17:00:00,14:d6:4d:8e:7c:36,DATUIN,wpa2,1,14.69954872,121.10191345
2017-06-09 13:00:00,2017-06-09 13:00:00,2c:54:cf:d5:5b:66,G2 mini_1720,wpa2,6,14.70457172,121.10164642
2013-05-07 12:00:00,2013-05-07 14:00:00,34:4b:50:49:15:be,PLDTMyDSL,wpa2,11,14.6999979,121.10240936
2013-05-06 15:00:00,2013-05-06 17:00:00,38:46:08:f3:40:54,bayanDSL,wpa,1,14.70697594,121.10283661
2013-04-25 05:00:00,2013-04-25 07:00:00,38:19:2f:cf:85:da,Akcihr28,wpa2,11,14.6992569,121.09835052
2013-05-07 12:00:00,2013-05-07 14:00:00,20:aa:4b:c5:df:55,President,wpa2,1,14.69952297,121.09986115
2013-04-17 03:00:00,2013-04-17 05:00:00,4c:09:b4:a3:45:91,bayanDSL,wpa,1,14.69920063,121.10132599
2013-05-06 15:00:00,2013-05-06 17:00:00,4c:09:b4:a6:c1:1f,aaron,wpa,1,14.70092678,121.10319519
2017-06-09 13:00:00,2017-06-09 13:00:00,b4:5d:50:38:68:b1,@AyalaMalls_GoWiFi,unknown,36,14.70270157,121.09915924
2017-06-09 13:00:00,2017-06-09 13:00:00,b4:5d:50:38:68:b4,@GoWiFi_Auto,unknown,36,14.70270157,121.09915924
2017-06-09 13:00:00,2017-06-09 13:00:00,b4:5d:50:38:68:b6,YTFanfest,wpa2,36,14.70270157,121.09915924
2017-06-09 13:00:00,2017-06-09 13:00:00,b4:5d:50:38:6d:73,None,unknown,255,14.70270157,121.09915924
2017-06-09 13:00:00,2017-06-09 13:00:00,b4:5d:50:38:6d:75,None,unknown,255,14.70270157,121.09915924
2017-06-09 13:00:00,2017-06-09 13:00:00,b4:5d:50:38:6d:78,YTFanfest,wpa2,255,14.70270157,121.09915924
2017-06-09 13:00:00,2017-06-09 13:00:00,b4:5d:50:38:6d:c0,None,unknown,11,14.70457172,121.10164642
2017-06-09 13:00:00,2017-06-09 13:00:00,b4:5d:50:38:6d:c1,@AyalaMalls_GoWiFi,unknown,11,14.70457172,121.10164642
