Last Updt,Last Time,MAC,SSID,Encryption,Channel,Latitude,Longitude
2017-07-15 09:00:00,2017-07-15 09:00:00,00:13:33:c1:f2:fb,PLDTHOMEDSLRR,wpa2,11,14.64667892,121.06137085
2017-07-15 09:00:00,2017-07-15 09:00:00,00:13:33:cf:5e:f8,PLDTHOMEDSL,wpa2,11,14.64683437,121.06045532
2017-10-26 14:00:00,2017-10-26 14:00:00,00:13:33:f4:2a:f6,PLDTHOMEDSL,wpa2,1,14.646945,121.06193542
2017-10-26 14:00:00,2017-10-26 14:00:00,00:13:33:f4:4b:e9,PLDTHOMEDSL,wpa2,1,14.64611721,121.06292725
2017-10-26 14:00:00,2017-10-26 14:00:00,00:13:33:ed:58:82,PLDTHOMEDSLPraiseGOD,wpa2,1,14.64586163,121.0630188
2017-06-09 13:00:00,2017-06-09 13:00:00,00:13:33:fa:c7:c1,PLDTHOMEDSL,wpa2,1,14.65092182,121.05726624
2017-06-09 13:00:00,2017-06-09 13:00:00,00:13:33:fa:ef:49,PLDTHOMEDSL_Matias,wpa2,1,14.65054893,121.05735779
2017-10-26 14:00:00,2017-10-26 14:00:00,00:13:33:fe:cc:b8,PLDTHOMEDSLjun,wpa2,1,14.64668179,121.06270599
2017-07-15 09:00:00,2017-07-15 09:00:00,00:13:33:fe:e4:aa,PLDTHOMEDSL,wpa2,11,14.64680767,121.0612793
2017-07-29 21:00:00,2017-07-29 21:00:00,00:13:33:ed:a2:ba,PLDTHOMEDSL,wpa2,1,14.64627743,121.06243896
2017-07-29 21:00:00,2017-07-29 21:00:00,00:13:33:e1:c9:15,PLDTHOMEDSL,wpa2,11,14.64609528,121.06011963
2017-07-29 21:00:00,2017-07-29 21:00:00,00:13:33:dc:91:af,PLDTHOMEDSLDAL1,wpa2,11,14.64585781,121.06096649
2017-06-09 13:00:00,2017-06-09 13:00:00,00:13:33:d3:4b:09,PLDTHOMEDSL,wpa2,11,14.64710331,121.05755615
